,CHINA,,,,,,,,INDIA,,,,,,,,BRAZIL,,,,,,,,RUSSIA,,,,,,,,MEXICO,,,,,,,,INDONESIA,,,,,,,,TURKEY,,,,,,,,THAILAND,,,,,,,,MALAYSIA,,,,,,,,PHILIPPINES,,,,,,
Date,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap
19-Jan,6.3,49.5,9.294176,1.7404,17.1867,1.408891,1.502219,,5.8425,53.9,3.935674,1.9722,9.605,-0.01461,-0.00613,,1.19,52.7,5.723932,3.78,23.0039,3.931699,10.60759,,0.3863,50.9,-4.65862,5,30.5449,1.200443,3.349965,,1.43,50.9,6.247476,4.37,4.7005,4.541934,8.69983,,5.06591,49.9,-3.7609,2.82,8.00224,2.327355,6.388409,,-2.56,44.2,11.58693,20.35,4.545,-0.69319,4.635265,,2.8,50.2,-5.89946,0.27,10.7703,2.723512,1.544309,,4.5,47.9,-0.35266,-0.66,5.7131,1.267695,2.630839,,5.7419,52.3,-6.41967,4.4,8.6236,0.706157,6.449545
19-Feb,6.3,49.2,-20.6504,1.4868,19.8063,0.736147,8.238173,,5.8425,54.3,3.200604,2.566,10.2303,-0.66715,-2.52464,,1.19,53.4,-9.60755,3.89,26.09123,0.289466,4.14595,,0.3863,50.1,9.962465,5.2,29.0755,1.406061,3.543515,,1.43,52.6,3.829922,3.94,4.8576,-0.06594,0.066517,,5.06591,50.1,-9.50865,2.6576,8.97507,0.874712,2.625467,,-2.56,46.4,8.936859,19.67,4.9111,1.426076,7.612841,,2.8,49.9,5.651617,0.73,11.9505,1.581838,5.39519,,4.5,47.6,-7.87812,-0.41,6.5374,1.03672,3.098637,,5.7419,51.9,0.495818,3.8,9.4336,0.546278,2.890171
19-Mar,6.3,50.5,13.9931,2.2764,19.4114,0.364892,15.7811,,5.8425,52.6,11.60206,2.8571,10.1484,2.443771,7.172349,,1.19,52.8,-13.8415,4.58,27.34751,-3.31762,-4.71914,,0.3863,52.8,0.515937,5.3,27.4173,1.024452,0.658663,,1.43,49.8,-1.17776,4,4.8235,-0.2152,-2.01107,,5.06591,51.2,-6.85209,2.5302,9.06468,-1.2546,-1.30524,,-2.56,47.2,5.03181,19.71,4.4821,-3.48865,-4.9647,,2.8,50.3,-5.04262,1.24,11.9268,-1.37347,-2.44477,,4.5,47.2,-3.39013,0.17,6.3294,-0.10133,-0.45235,,5.7419,51.5,0.105071,3.3,9.3193,-0.60019,-1.38805
19-Apr,6,50.1,-2.67925,2.5399,18.7732,-0.04042,5.951865,,5.3948,51.8,0.637246,2.9905,10.2599,0.100903,3.151161,,1.49,51.5,-2.18675,4.94,27.52668,-1.27662,-2.43239,,1.1382,51.8,0.301452,5.2,26.4012,0.941288,2.720174,,-0.92,50.1,6.466294,4.41,4.7764,1.450952,4.642822,,5.05142,50.4,-9.85155,2.7792,8.78152,0.449425,0.723788,,-1.72,46.8,10.78956,19.5,4.2765,-5.51018,-8.80182,,2.4,51,-2.76814,1.23,11.6766,-0.37082,1.168177,,4.8,49.4,-3.73866,0.17,6.1689,-0.87126,-1.62918,,5.38827,50.9,3.105818,3,9.2257,0.890466,1.663272
19-May,6,49.4,1.099285,2.7428,18.6311,-2.06897,-11.2431,,5.3948,52.7,3.925722,3.0479,10.1158,-0.59528,-2.40611,,1.49,50.2,6.558065,4.66,27.29474,-2.63497,-3.85125,,1.1382,49.8,-11.4065,5.1,26.4529,-0.57155,0.327371,,-0.92,50,6.471699,4.28,4.7117,-0.81867,-4.84227,,5.05142,51.6,-8.92995,3.0632,8.44864,-1.67821,-6.75353,,-1.72,45.3,18.22589,18.71,4.3082,-4.77938,-11.0704,,2.4,50.7,-6.25217,1.15,11.5269,0.178574,-1.291,,4.8,48.8,-2.85052,0.25,5.9852,-1.35697,-2.79667,,5.38827,51.2,1.769566,3.2,9.2346,-0.46037,-1.48695
19-Jun,6,49.4,-1.45179,2.6814,18.8089,-0.63609,-1.51925,,5.3948,52.1,-9.70935,3.1769,10.3134,0.533958,2.502986,,1.49,51,-8.49178,3.37,27.79767,3.462486,8.834819,,1.1382,48.6,-11.2171,4.7,27.5182,1.295489,6.792152,,-0.92,49.2,1.188317,3.95,4.7884,-0.86779,-1.51158,,5.05142,50.6,-9.10545,2.8446,8.98157,1.130614,3.877279,,-1.72,47.9,-9.97988,15.72,4.3197,3.826634,9.457618,,2.4,50.6,-2.17387,0.87,12.0027,2.18312,4.901465,,4.8,47.8,-6.46437,1.51,6.1613,0.261256,2.191858,,5.38827,51.3,3.943892,2.7,9.265,0.965869,2.817286
19-Jul,5.9,49.7,3.436985,2.7826,18.525,0.30196,3.067716,,4.6057,52.5,2.245805,3.1474,10.4223,0.964761,-3.33326,,1.3276,49.9,-10.5381,3.22,26.5949,2.034702,7.420316,,1.5395,49.3,-2.45958,4.6,27.0401,1.316756,2.120612,,-0.04,49.8,6.490396,3.78,4.7343,1.145352,-0.75885,,5.01908,49.6,-6.42505,2.8151,8.97119,1.327367,3.832102,,1.04,46.7,13.40341,16.65,4.3235,2.421103,11.02035,,2.7,50.3,4.425789,0.98,12.0254,0.928249,4.056589,,4.4,47.6,1.950776,1.42,6.1718,0.853827,2.055462,,6.33765,52.1,4.786718,2.4,9.1876,1.207639,2.520118
19-Aug,5.9,49.5,-0.95691,2.8435,18.3728,-2.70649,-3.77157,,4.6057,51.4,-6.53189,3.2764,10.4403,-3.46938,-8.21202,,1.3276,52.5,-8.73747,3.43,26.40389,-6.52359,-7.40352,,1.5395,49.1,-8.97557,4.3,27.1814,-4.13444,-6.19984,,-0.04,49,1.293825,3.16,4.7436,-3.3943,-6.78055,,5.01908,49,-10.1046,3.0559,8.99891,-1.45009,-3.03303,,1.04,48,7.224306,15.01,4.4278,0.204795,-2.11322,,2.7,50,-3.82219,0.52,12.119,0.168215,-4.19743,,4.4,47.4,-2.84495,1.5,6.1403,-1.55846,-5.3704,,6.33765,51.9,1.389106,1.7,9.2753,-2.04691,-5.27074
19-Sep,5.9,49.8,-3.18681,3.023,18.1661,-0.75673,5.491873,,4.6057,51.4,-6.5739,3.9943,10.6588,-0.28141,2.043381,,1.3276,53.4,5.791413,2.89,25.36001,-2.32699,0.012574,,1.5395,46.3,-9.37532,4,27.1779,1.373089,4.924509,,-0.04,49.1,-1.36609,2.9975,4.7488,0.602975,5.474262,,5.01908,49.1,-5.8584,3.1222,8.8339,0.938192,0.819572,,1.04,50,6.08244,9.2621,4.4247,-0.95305,4.978617,,2.7,50.599,-1.73756,0.32,12.1705,0.620109,0.708207,,4.4,47.9,-7.10624,1.08,6.1808,0.089786,-0.57132,,6.33765,51.8,0.446572,0.9,9.2033,0.200365,-0.04426
